  time(s)      time(days)   fissrate     neuflue1     neuflue2     dpa(dpa)     bup(Mwd/kgM) bupave       bup(FIMA)    bup2(FIMA)   bupave(FIMA) temfi(c)     temfo(c)     temci(c)     temco(c)     tfave(c)     tcave(c)     hgap(w/m2/k) rfi(mm)      rfo(mm)      rci(mm)      rco(mm)      gap(mkm)     gapth(mkm)   gpres(mPa)   pfc(mpa)     htc(w/m2-k)  fgrpp(%)     efs(%)       eh(%)        et(%)        efh(%)       efz(%)       ez(%)        dlfuel(%)    dlfuelp(%)   dlclad(%)    ecef(%)      swclose(-)   swopen(-)    swsol(-)     swtot(-)     efsz(-)      efsh(-)      efsr(-)      xwast(m)     phstrain(%)  tchstrain(%)   sigh(MPa)  gap_state    
  1.00000E+05  1.15741E+00  3.04459E+19  1.10014E+01  2.87480E-02  1.14992E-01  7.32536E-02  7.32536E-02  7.96907E-05  8.70206E-05  7.96907E-05  7.46142E+02  5.87497E+02  5.69998E+02  5.38331E+02  6.68576E+02  5.53574E+02  1.01955E+05  0.00000E+00  3.91165E+00  4.53055E+00  5.05801E+00  6.18900E+02  6.20901E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  3.98540E-03  6.56465E-01  6.76114E-01  1.46010E+00  1.25282E+00  6.58466E-01  1.04730E+00 -7.52730E-02  5.46520E-01  0.00000E+00  2.59220E-08  0.00000E+00  1.19536E-04  1.19562E-04  3.98540E-05  3.98540E-05  3.98540E-05  0.00000E+00  6.57350E-01  0.00000E+00 -2.78660E+01       open
  2.00000E+05  2.31481E+00  3.04459E+19  1.10028E+01  5.74960E-02  2.29984E-01  1.46507E-01  1.46507E-01  1.59381E-04  1.74041E-04  1.59381E-04  7.46137E+02  5.87492E+02  5.69998E+02  5.38331E+02  6.68572E+02  5.53574E+02  1.01984E+05  0.00000E+00  3.91180E+00  4.53052E+00  5.05799E+00  6.18720E+02  6.20721E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  8.00289E-03  6.55880E-01  6.76114E-01  1.46409E+00  1.25679E+00  6.58312E-01  1.05127E+00 -7.12874E-02  5.46437E-01  0.00000E+00  1.01467E-06  0.00000E+00  2.39072E-04  2.40087E-04  8.00289E-05  8.00289E-05  8.00289E-05  0.00000E+00  6.56875E-01  0.00000E+00 -2.36159E+01       open
  3.00000E+05  3.47222E+00  3.04459E+19  1.10042E+01  8.62440E-02  3.44976E-01  2.19761E-01  2.19761E-01  2.39072E-04  2.61062E-04  2.39072E-04  7.46133E+02  5.87487E+02  5.69998E+02  5.38331E+02  6.68567E+02  5.53574E+02  1.02014E+05  0.00000E+00  3.91196E+00  4.53050E+00  5.05797E+00  6.18543E+02  6.20545E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  1.22319E-02  6.55406E-01  6.76114E-01  1.46830E+00  1.26081E+00  6.58202E-01  1.05526E+00 -6.72953E-02  5.46373E-01  0.00000E+00  8.34912E-06  0.00000E+00  3.58608E-04  3.66957E-04  1.22319E-04  1.22319E-04  1.22319E-04  0.00000E+00  6.56486E-01  0.00000E+00 -2.05658E+01       open
  4.00000E+05  4.62963E+00  3.04459E+19  1.10056E+01  1.14992E-01  4.59968E-01  2.93015E-01  2.93015E-01  3.18763E-04  3.48082E-04  3.18763E-04  7.46130E+02  5.87482E+02  5.69998E+02  5.38331E+02  6.68563E+02  5.53574E+02  1.02043E+05  0.00000E+00  3.91212E+00  4.53048E+00  5.05795E+00  6.18365E+02  6.20367E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  1.71593E-02  6.55015E-01  6.76114E-01  1.47324E+00  1.26496E+00  6.58120E-01  1.05926E+00 -6.32811E-02  5.46322E-01  0.00000E+00  3.66339E-05  0.00000E+00  4.78144E-04  5.14778E-04  1.71593E-04  1.71593E-04  1.71593E-04  0.00000E+00  6.56163E-01  0.00000E+00 -1.83160E+01       open
  5.00000E+05  5.78704E+00  3.04459E+19  1.10070E+01  1.43740E-01  5.74960E-01  3.66268E-01  3.66268E-01  3.98454E-04  4.35103E-04  3.98454E-04  7.46129E+02  5.87477E+02  5.69998E+02  5.38331E+02  6.68558E+02  5.53574E+02  1.02074E+05  0.00000E+00  3.91229E+00  4.53047E+00  5.05794E+00  6.18177E+02  6.20179E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  2.37337E-02  6.54691E-01  6.76114E-01  1.47988E+00  1.26942E+00  6.58058E-01  1.06332E+00 -5.92139E-02  5.46282E-01  0.00000E+00  1.14331E-04  0.00000E+00  5.97680E-04  7.12012E-04  2.37337E-04  2.37337E-04  2.37337E-04  0.00000E+00  6.55892E-01  0.00000E+00 -1.66183E+01       open
  6.00000E+05  6.94444E+00  3.04459E+19  1.10084E+01  1.72488E-01  6.89952E-01  4.39522E-01  4.39522E-01  4.78144E-04  5.22123E-04  4.78144E-04  7.46131E+02  5.87471E+02  5.69998E+02  5.38331E+02  6.68554E+02  5.53574E+02  1.02109E+05  0.00000E+00  3.91249E+00  4.53046E+00  5.05793E+00  6.17967E+02  6.19967E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  3.35041E-02  6.54419E-01  6.76114E-01  1.48983E+00  1.27448E+00  6.58010E-01  1.06748E+00 -5.50422E-02  5.46249E-01  0.00000E+00  2.87906E-04  0.00000E+00  7.17217E-04  1.00512E-03  3.35041E-04  3.35041E-04  3.35041E-04  0.00000E+00  6.55665E-01  0.00000E+00 -1.53123E+01       open
  7.00000E+05  8.10185E+00  3.04459E+19  1.10098E+01  2.01236E-01  8.04944E-01  5.12775E-01  5.12775E-01  5.57835E-04  6.09144E-04  5.57835E-04  7.46140E+02  5.87464E+02  5.69998E+02  5.38331E+02  6.68550E+02  5.53574E+02  1.02151E+05  0.00000E+00  3.91273E+00  4.53045E+00  5.05792E+00  6.17717E+02  6.19717E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  4.87246E-02  6.54191E-01  6.76114E-01  1.50543E+00  1.28060E+00  6.57972E-01  1.07182E+00 -5.06890E-02  5.46222E-01  0.00000E+00  6.24986E-04  0.00000E+00  8.36753E-04  1.46174E-03  4.87246E-04  4.87246E-04  4.87246E-04  0.00000E+00  6.55473E-01  0.00000E+00 -1.42909E+01       open
  8.00000E+05  9.25926E+00  3.04459E+19  1.10112E+01  2.29984E-01  9.19936E-01  5.86029E-01  5.86029E-01  6.37526E-04  6.96164E-04  6.37526E-04  7.46158E+02  5.87455E+02  5.69998E+02  5.38331E+02  6.68546E+02  5.53574E+02  1.02203E+05  0.00000E+00  3.91303E+00  4.53044E+00  5.05791E+00  6.17402E+02  6.19402E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  7.24025E-02  6.53998E-01  6.76114E-01  1.52976E+00  1.28836E+00  6.57942E-01  1.07646E+00 -4.60480E-02  5.46200E-01  0.00000E+00  1.21579E-03  0.00000E+00  9.56289E-04  2.17208E-03  7.24025E-04  7.24025E-04  7.24025E-04  0.00000E+00  6.55310E-01  0.00000E+00 -1.34808E+01       open
  9.00000E+05  1.04167E+01  3.04459E+19  1.10126E+01  2.58732E-01  1.03493E+00  6.59283E-01  6.59283E-01  7.17217E-04  7.83185E-04  7.17217E-04  7.46191E+02  5.87443E+02  5.69998E+02  5.38331E+02  6.68543E+02  5.53574E+02  1.02271E+05  0.00000E+00  3.91344E+00  4.53043E+00  5.05791E+00  6.16991E+02  6.18991E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  1.08255E-01  6.53835E-01  6.76114E-01  1.56666E+00  1.29854E+00  6.57918E-01  1.08152E+00 -4.09805E-02  5.46182E-01  0.00000E+00  2.17182E-03  0.00000E+00  1.07582E-03  3.24765E-03  1.08255E-03  1.08255E-03  1.08255E-03  0.00000E+00  6.55171E-01  0.00000E+00 -1.28303E+01       open
  1.00000E+06  1.15741E+01  3.04459E+19  1.10141E+01  2.87480E-01  1.14992E+00  7.32536E-01  7.32536E-01  7.96907E-04  8.70206E-04  7.96907E-04  7.46243E+02  5.87428E+02  5.69998E+02  5.38331E+02  6.68540E+02  5.53574E+02  1.02362E+05  0.00000E+00  3.91398E+00  4.53042E+00  5.05790E+00  6.16445E+02  6.18445E+02  1.01000E-01  0.00000E+00  1.33276E+05  0.00000E+00  1.60544E-01  6.53695E-01  6.76114E-01  1.62049E+00  1.31206E+00  6.57898E-01  1.08718E+00 -3.53146E-02  5.46166E-01  0.00000E+00  3.62095E-03  0.00000E+00  1.19536E-03  4.81631E-03  1.60544E-03  1.60544E-03  1.60544E-03  0.00000E+00  6.55053E-01  0.00000E+00 -1.23023E+01       open
